rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
309,9216,5,144,64,9,24576,bf16,fp8,8,4.89,4.89,dense,0,0,0,1,2.3132,47777,1.1,0.8,low
310,9216,5,72,128,1,24576,bf16,fp8,16,4.85,4.85,dense,0,0,0,1,2.3214,47381,1.2,0.7,low
311,9216,5,72,128,1,24576,bf16,fp8,8,4.85,4.85,dense,0,0,0,1,2.3315,47381,1.1,0.7,low
312,10752,4,168,64,168,28672,bf16,fp8,4,4.39,33.06,fine,128,4,1792,1,2.3344,53212,1.0,4.2,low
313,10752,4,168,64,168,28672,bf16,fp8,4,4.39,33.06,fine,128,4,1792,2,2.3344,50031,1.0,2.5,low
314,10752,4,168,64,168,28672,bf16,fp8,4,4.39,33.06,fine,128,4,1792,4,2.3344,48566,1.0,1.6,low
315,10752,4,168,64,168,28672,bf16,fp8,4,4.39,33.06,fine,128,4,1792,8,2.3344,47438,1.0,1.2,low
316,9216,5,144,64,1,24576,bf16,fp8,16,4.84,4.84,dense,0,0,0,1,2.3361,47841,1.1,0.7,low
317,9216,4,72,128,72,24576,bf16,fp8,8,4.67,4.67,dense,0,0,0,1,2.3398,50468,1.1,1.0,medium
318,7680,7,120,64,15,20480,bf16,fp8,4,4.72,4.72,dense,0,0,0,1,2.3401,45648,1.4,0.7,low
319,9216,5,144,64,1,24576,bf16,fp8,8,4.84,4.84,dense,0,0,0,1,2.3462,47841,1.1,0.7,low
320,10752,4,168,64,21,28672,bf16,fp8,16,5.43,5.43,dense,0,0,0,1,2.3629,44452,1.0,0.9,low
321,7680,6,120,64,60,20480,bf16,fp8,4,4.38,4.38,dense,0,0,0,1,2.3675,51090,1.3,0.7,low
322,10752,4,168,64,21,28672,bf16,fp8,8,5.43,5.43,dense,0,0,0,1,2.3730,44452,1.0,0.9,low
323,7680,7,120,64,1,20480,bf16,fp8,4,4.63,4.63,dense,0,0,0,1,2.3778,45767,1.4,0.7,low
324,10752,4,168,64,1,28672,bf16,fp8,16,5.32,5.32,dense,0,0,0,1,2.4001,44953,1.0,0.8,low
325,10752,4,168,64,1,28672,bf16,fp8,8,5.32,5.32,dense,0,0,0,1,2.4102,44953,1.0,0.8,low
326,9216,5,144,64,9,24576,bf16,fp8,4,4.89,4.89,dense,0,0,0,1,2.4247,47777,1.1,0.8,low
327,9216,4,72,128,72,24576,bf16,fp8,4,4.67,4.67,dense,0,0,0,1,2.4515,50468,1.0,0.9,low
